7898014561838##ALCANATAN                                    250MG FR 150ML##16,62 
7898216364497##AZITROPHAR                                   900MG SUS OR CX 25 FR 22,5ML+SER DOS 5ML##562,05 
7898216365364##AZITROPHAR                                   900MG SUS OR CX 25 FR X 22,5ML+SER DOS 5ML##626,50 
7898216365371##AZITROPHAR                                   900MG SUS OR CX 50 FR X 22,5ML+SER DOS 5ML##1.187,71 
7896548168745##AZOPT                                        1% SUS OFT FR GTS 5ML##44,68 
7896548197968##AZORGA                                       FRASCO C/ 6ML##57,11 
7896548197967##AZORGA                                       10+5MG/ML SUS OFT FR GOT X 5ML##47,59 
8902220106079##AZUKON MR                                    30MG CX 30 COMP##12,93 
7896637022729##AZULFIN                                      500MG CX 60 COMP REV##57,87 
8902220106048##AZULIX                                       1MG CX 30 COMP##13,90 
8902220106062##AZULIX                                       2MG CX 30 COMP##24,32 
7896014665310##B-PLATIN                                     10MG SOL INJ FA X 15ML##251,40 
7896014665327##B-PLATIN                                     10MG SOL INJ FA X 45ML##758,39 
7896014665303##B-PLATIN                                     10MG SOL INJ FA X 5ML##84,27 
7893736001754##B-SUPRIN                                     CX 60 DR##10,01 
7896180300022##B-TABLOCK                                    5MG SOL OFT FR 10ML##29,15 
7896180300015##B-TABLOCK                                    5MG SOL OFT FR 5ML##17,79 
7893736005233##B-VIT                                        3+3+3+10+25MG CX 50 DR##12,91 
7893736010404##B-VIT                                        3+3+3+10+25MG SOL ORAL FR 30ML##8,13 
7896006210306##BABY DRAX                                    CX PO SOL ORAL 4 ENV X 27,9##11,39 
7896006210429##BABY DRAX                                    CX PO SOL ORAL 50 ENV X 27,9##138,57 
7896523212258##BABYMED                                      5000+900UI/G+150MG POM BG 45##16,03 
7896523212241##BABYMED                                      KIT MENINA 1000+400UI/G+100MG POM BG 45##16,03 
7896523208985##BABYMED                                      MENINA 1000+400UI/G+100MG POM BG 45##8,01 
7896523206943##BABYMED                                      ROSA 5000+900UI/G+150MG POM BG 45##8,51 
7896714225623##BABYNEO                                      100MUI+200MG POM DERM BG 60##28,65 
7896714233529##BAC-SULFITRIN                                80+16MG/ML SOL INJ CX 50 AMP X 5ML##104,64 
7898109240099##BACFAR                                       F 80+16MG/ML SUS FR 100ML##16,20 
7898109240082##BACFAR                                       F 800+160MG CX 10 COMP##12,52 
7898109240884##BACFAR                                       CX 20 COMP##11,49 
7898109240891##BACFAR                                       SUS FR 100ML##9,12 
7898109240983##BACFAR                                       SUS FR 50ML##6,44 
7893736000511##BACIGEN                                      5MG+250UI POM BG 20##10,56 
7897917000826##BACINA                                       5MG+250UI POM BG 15##10,13 
7897917002646##BACINA                                       5MG+250UI POM DERM BG 10##6,77 
7898060131788##BACINANTRAT                                  5MG+250UI POM DERM BG 10##8,51 
7896622300610##BACINEO                                      5MG+250UI POM BG 15##12,01 
7896112133865##BACITRACINA ZINCICA+SULFATO DE NEOMICINA     5MG+250UI POM DERM BG 15##7,24 
7896112133902##BACITRACINA ZINCICA+SULFATO DE NEOMICINA     5MG+250UI POM DERM BG 50##15,48 
7896112141693##BACLOFEN                                     10MG CX 20 COMP##12,35 
7896006270003##BACLON                                       10MG CX 20 COMP##17,97 
7898168006278##BACROCIN                                     20MG POM BG 15##33,99 
7897732601482##BACSULFAPRIM                                 40+8MG/ML SUS OR FR 100ML+CM##3,56 
7897732602373##BACSULFAPRIM                                 400+8MG/ML SUS OR FR 50ML+CM##1,79 
7896112140115##BACTERACIN                                   40+8MG/ML SUS OR FR 100ML##10,84 
7896112127505##BACTERACIN                                   40+8MG/ML SUS OR FR 100ML+CP##10,84 
7896112133599##BACTERACIN                                   400+80MG CX 20 COMP##10,71 
7896112140108##BACTERACIN                                   400+80MG ENV 12 COMP##7,95 
7896112140122##BACTERACIN                                   F 800+160MG CX 10 COMP##11,45 
7896331705461##BACTODERM                                    5,0 MG/G + 250 UI/G POM DERM CT BG AL X 50 ##11,77 
7896331703221##BACTODERM                                    5,0MG/G+250UI/G POM DERM BG 15##10,06 
7896676412796##BACTOMAX                                     200MG PO LIOF CX 10FA+DILL X 3ML HOSP##2.370,90 
7896676412857##BACTOMAX                                     400MG PO LIOF CX 10FA+DIL X 3ML HOSP##4.555,27 
7896226500379##BACTRIM                                      40+8MG SUS FR 100ML PED##12,65 
7896226500416##BACTRIM                                      400+80MG CX 20 COMP##15,97 
7896226500423##BACTRIM                                      F 80+16MG SUS FR 100ML##24,48 
7896226500386##BACTRIM                                      F 800+160MG CX 10 COMP##15,67 
7896226501307##BACTRIM                                      IV CX 50 AMP X 5ML##104,65 
7896015568290##BACTROBAN                                    20MG POM TB 15##33,22 
7896015519834##BACTROBAN                                    POMADA BG 10##22,15 
7896714217185##BACTRONEO                                    20MG POM DERM BG 15##31,89 
7896523201009##BACTROPIN                                    40+8MG SUS ORAL FR 100ML##12,65 
7896523201023##BACTROPIN                                    400+80MG CX 20 COMP##16,00 
7897851220649##BALCOR                                       30MG CX 30 COMP##8,14 
7897851220687##BALCOR RETARD                                120MG CX 30 COMP##42,95 
7897851220694##BALCOR RETARD                                180MG CX 30 COMP##63,19 
7897851220700##BALCOR RETARD                                300MG CX 30 CAP RET##75,54 
7897851220670##BALCOR RETARD                                90MG CX 30 COMP##33,01 
7896004753638##BALSAMO BENGUE                               60G BG GEL CX##28,89 
7896004753621##BALSAMO BENGUE                               60G BISN POM X##29,88 
7896004726793##BALSAMO BENGUE                               0,10+0,50G AER FR 60##21,50 
7896004817576##BALSAMO BENGUE                               GEL BG 20##9,63 
7896004817569##BALSAMO BENGUE                               POM BG 20##9,96 
7896023705892##BALSAMO BRANCO                               SOL FR 30ML##14,82 
7891142115676##BAMBAIR                                      1MG SOL ORAL FR 120ML+SER DOS##25,24 
7896206402402##BAMBEC                                       1MG SOL FR 100ML##23,38 
7896672201875##BAMIFIX                                      300MG CX 20 DR##19,47 
7896672201882##BAMIFIX                                      600MG CX 20 DR##31,05 
7891010034948##BANHO BANHO                                  DESODORANTE AERO CLASSIC FR 80##6,09 
7891010034955##BANHO BANHO                                  DESODORANTE AERO OCEAN FR 80##6,09 
7891010034979##BANHO BANHO                                  DESODORANTE AERO SPERF FR 80##6,09 
7891010035198##BANHO BANHO                                  DESODORANTE ROLLON CLASS FR 55ML##3,93 
7891010035228##BANHO BANHO                                  DESODORANTE ROLLON OCEAN FR 55ML##3,93 
7891010035334##BANHO BANHO                                  DESODORANTE ROLLON SPERF FR 55ML##3,93 
